id,scraped_at,travel_date,from_city,to_city,departure,arrival,price,driver,rating,seats_available,seats_total,seats_booked
116,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,11:10,14:40,480.0,N/A,,,3,
117,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,11:10,14:40,500.0,Vinod Reddy,0.0,,3,
20,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,11:30,16:10,600.0,Naga,4.6,,3,
21,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,11:30,16:20,600.0,Anem,5.0,,3,
22,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,11:30,16:00,770.0,Instant Booking,,,3,
71,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,11:30,13:30,430.0,Eshwar,5.0,,3,
72,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,11:30,15:30,550.0,Renuka,4.5,,3,
73,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,11:30,14:40,550.0,N/A,,,3,
74,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,11:30,14:40,560.0,N/A,,1.0,3,2.0
118,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,11:30,15:00,500.0,Ramanjanaeyulu,4.5,,3,
119,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,11:30,14:10,580.0,Vinod,0.0,,3,
75,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,11:40,14:50,550.0,Swetha,4.4,,3,
76,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,11:50,15:10,450.0,N/A,,1.0,3,2.0
23,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,12:00,17:20,840.0,Amar,3.7,,3,
77,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,12:00,14:30,400.0,N/A,,,3,
78,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,12:00,13:50,430.0,N/A,,,3,
80,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,12:00,14:40,450.0,Viswateja,0.0,,3,
120,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,12:00,15:40,550.0,N/A,,,3,
121,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,12:00,14:30,620.0,N/A,,,3,
81,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,12:10,14:40,400.0,N/A,,,3,
123,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,12:10,15:40,500.0,N/A,,,3,
125,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,12:10,14:30,510.0,Sai,4.6,,3,
24,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,12:30,17:20,690.0,N/A,,,3,
82,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,12:30,15:00,400.0,N/A,,,3,
83,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,12:30,16:20,500.0,N/A,,,3,
126,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,12:30,15:10,550.0,Mohammed,5.0,,3,
127,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,12:30,15:00,600.0,N/A,,,3,
128,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,12:30,15:20,650.0,N/A,,,3,
25,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,12:50,17:10,710.0,Satish,4.5,,3,
26,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,13:00,16:30,530.0,N/A,,,3,
27,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,13:00,17:50,840.0,N/A,,,3,
84,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,13:00,16:50,500.0,N/A,,,3,
129,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,13:00,16:30,500.0,N/A,,,3,
130,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,13:00,16:30,550.0,Vikram,4.2,,3,
131,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,13:00,15:40,620.0,N/A,,,3,
132,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,13:00,15:40,630.0,Ejaz,2.4,,3,
133,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,13:00,15:50,650.0,Manohar,4.0,,3,
86,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,13:20,16:40,450.0,N/A,,,3,
28,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,13:30,18:00,720.0,N/A,,,3,
29,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,13:30,18:10,750.0,Charan,5.0,,3,
87,2026-06-03T08:53:51.690908,2026-06-03,Hyderabad,Warangal,13:30,17:10,550.0,Teju,4.5,,3,
134,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,13:30,16:10,650.0,N/A,,,3,
135,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,13:40,17:10,500.0,Yogi,0.0,,3,
136,2026-06-03T08:54:21.104248,2026-06-03,Hyderabad,Kurnool,13:50,17:20,480.0,N/A,,,3,
30,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,14:00,19:20,750.0,Karthik,4.6,,3,
31,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,14:20,19:30,650.0,Fawwaz,4.6,,3,
32,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,14:30,19:30,860.0,N/A,,,3,
33,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,15:00,18:10,550.0,N/A,,,3,
34,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,15:00,20:20,680.0,Bandi Lohith,3.0,,3,
35,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,15:00,19:50,800.0,Blossom,4.5,,3,
36,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,15:30,20:50,800.0,Bharath,4.4,,3,
37,2026-06-03T08:53:20.684801,2026-06-03,Hyderabad,Vijayawada,16:00,20:30,580.0,Saiman,4.8,,3,
